,name,text,count
0,ADERHOLT ROBERT B,"i am excited to announce that alex vanderford will be joining our team. alex has a wealth of campaign experience and he shares my vision of reigniting the economy after this pandemic, bringing jobs back from china to america, expanding broadband to all rural areas, and protecting the unborn. i know alex will work tirelessly to show the voters how much progress weve made, but also how we can make even more progress in the future.",76
1,ADERHOLT ROBERT B,"robert is a member of the powerful house committee on appropriations, which has jurisdiction over funding the operation of the federal government. he serves as ranking member of the subcommittee on commerce, justice and science and supports greater transparency, accountability and oversight to the appropriations process and also serves as a member of the agriculture and rural development subcommittee and the defense subcommittee. an advocate of fiscal responsibility, truth in budgeting and a federal government that operates within its means, he tries to bring commonsense solutions to the appropriations committee.",90
2,ADERHOLT ROBERT B,"born on july 22, 1965, and raised in alabama, robert and his wife, caroline, have their residence in haleyville along with their daughter, mary elliott, and their son, robert hayes. when congress is in session, his family joins him in washington, d.c. area.",43
3,ADERHOLT ROBERT B,"i take pride in the fact that president trump received a higher percentage of the vote in the 4th congressional district than any congressional district in the nation. during the past four years, i have formed a personal relationship with president trump, and we have fought side by side for rural america.",52
4,ADERHOLT ROBERT B,"prior to his election to congress, robert served as assistant legal advisor to governor fob james as well as municipal judge for the city of haleyville, alabama. educated through alabamas public school system, he went on to receive his b.a. from birmingham southern college and his j.d. from the cumberland school of law at samford university.",56
5,ADERHOLT ROBERT B,"a staunch supporter of his community, district and the state of alabama, robert believes the federal government serves a critical role in assisting state and local projects regarding economic development. he continues to support progrowth initiatives that create jobs, strong immigration standards, and robust national security.",46
6,AGUILAR ERICK JAVIER DR,"in congress, ive been working to expand job training opportunities so that students are jobready out of high school and fighting to reduce the cost of college so that more students can afford it. last year, i wrote a bill to give small businesses a tax break for the cost of training new employees and i helped secure funding to retrain laid off ashley furniture employees when their colton facility closed and the jobs were outsourced overseas.",77
7,AGUILAR ERICK JAVIER DR,"earlier this year, i led democratic negotiations in the house of representatives on legislation to create a pathway to citizenship for dreamers after president trump ended the daca program. my bipartisan legislation makes sensible security improvements along the southern border and allows dreamers to remain in the only country theyve ever called home.",53
8,AGUILAR ERICK JAVIER DR,"earlier this year, i led the effort in congress to pass a law that would ensure that military service members can use their skills from the military to quickly transition to goodpaying jobs here in the inland empire when they return home and i helped secure over 500,000 to help homeless veterans in san bernardino county.",56
9,AGUILAR ERICK JAVIER DR,"womens reproductive rights are under constant attack and were still a long way away from realizing full pay equity for women. in congress, ive been standing up to the trump administrations efforts to defund planned parenthood and restrict access to abortions, contraceptives and family planning services.",46
10,AGUILAR ERICK JAVIER DR,"im committed to protecting social security and cosponsored legislation affirming that social security should be preserved, protected and expanded. my annual senior fairs have connected hundreds of inland empire seniors with vital resources in our community and i will continue advocating for policies that reaffirm our promise that all americans can retire with the dignity and respect they deserve.",59
11,AGUILAR ERICK JAVIER DR,"we need to support the brave men and women who defend our country when they return home. in congress, i helped hundreds of inland empire veterans get access to the benefits theyve earned and my annual veteran resource fairs have connected hundreds local veterans to critical housing, health care and employment opportunities here in san bernardino county.",57
12,AGUILAR ERICK JAVIER DR,"i fought efforts to repeal the affordable care act and i oppose any effort that would allow insurance companies to deny coverage for preexisting conditions, raise rates, or cut millions off of their health care plans. i also fought against the republican tax plan that gives 83 percent of the tax breaks to the wealthiest americans and largest corporations while gutting medicare and medicaid and increasing insurance premiums for the middle class.",72
13,AGUILAR ERICK JAVIER DR,"in congress, pete fights every day to rebuild the middle class, create goodpaying jobs in communities like the inland empire, reform our broken immigration system and provide resources to our seniors, veterans and students. pete is also focused on modernizing our national security by investing in cyber defense and leading congress in the effort to ramp up cyber security training and job creation. he wants to modernize our national security, which is why he is leading an effort to stop white supremacists and other extremists from infiltrating our military and introduced legislation to help the federal government prepare for and prevent domestic terror incidents.",104
14,AGUILAR ERICK JAVIER DR,"earlier this year, i stood up to republican efforts to give a massive tax cut to the wealthy while leaving middleclass families to foot the bill. my annual inland empire jobs fairs have helped over one hundred people find jobs and as our regions economy continues to recover from the great recession, growing the inland empire economy and helping workers find goodpaying jobs will continue to be my top priority in congress.",72
15,AGUILAR ERICK JAVIER DR,"medicare and social security are vital to the health and welfare of older americans in san bernardino county and throughout our nation. i have fought republican efforts to turn medicare into a voucher program, which would force seniors to shop for health insurance on the private market and pay thousands more in outofpocket expenses for the same level of coverage.",60
16,AGUILAR ERICK JAVIER DR,"with the help of a federal pell grant, i worked my way through college. thats why i believe every student who works hard should be able to afford a college education. last year, i wrote a bill to help ease the student loan burden on students and their families, and ive been fighting back against republican efforts to cut pell grants, on which so many inland empire students rely.",69
17,AGUILAR ERICK JAVIER DR,"i am running for reelection because i know how to bring democrats and republicans together to confront issues facing our community. ive worked with members of both parties on legislation to expand protections and job opportunities for veterans, cut taxes and red tape for small businesses, make health care more affordable and fix our broken immigration system.",57
18,AGUILAR ERICK JAVIER DR,"inland empire families deserve a leader who will work across the aisle to deliver the results they deserve. as a fourth generation san bernardino county resident, i understand the struggles of families throughout our community. as your current representative in congress, im working to fix these problems to improve the lives of families like yours and mine.",57
19,AGUILAR ERICK JAVIER DR,"both parties need to come together to pass comprehensive immigration reform that keeps families together, provides a pathway to citizenship, protects people who were brought to the united states as children from deportation, while also protecting the border and our national security.",42
20,AGUILAR ERICK JAVIER DR,pete grew up in a workingclass family in san bernardino. his dad was a union worker for a local utility company and his first job was working with his grandfather bussing tables at the san bernardino county courthouse. he worked two jobs through college and proudly graduated with the help of pell grants.,53
