,Unnamed: 0,name,text,count,class_simple,topics
9,9,AGUILAR ERICK JAVIER DR,"womens reproductive rights are under constant attack and were still a long way away from realizing full pay equity for women. in congress, ive been standing up to the trump administrations efforts to defund planned parenthood and restrict access to abortions, contraceptives and family planning services.",46,0,social_policy
11,11,AGUILAR ERICK JAVIER DR,"we need to support the brave men and women who defend our country when they return home. in congress, i helped hundreds of inland empire veterans get access to the benefits theyve earned and my annual veteran resource fairs have connected hundreds local veterans to critical housing, health care and employment opportunities here in san bernardino county.",57,0,social_policy
15,15,AGUILAR ERICK JAVIER DR,"medicare and social security are vital to the health and welfare of older americans in san bernardino county and throughout our nation. i have fought republican efforts to turn medicare into a voucher program, which would force seniors to shop for health insurance on the private market and pay thousands more in outofpocket expenses for the same level of coverage.",60,5,healthcare
25,25,AHN ROBERT LEE,"robert lee ahn understands that climate change is an urgent threat to our economy and our childrens future. robert will defend the pledge we made at the paris climate conference to reduce greenhouse gas emissions and put the united states on a path to reduce american oil consumption. on day one, robert lee ahn will call on congress to invest in clean energy infrastructure and innovation.",66,10,environment
31,31,AHN ROBERT LEE,"roberts education was greatly enhanced by the many programs offered at local parks, including art classes, youth camps, and little league baseball. he was a regular at the westside ymca, taking competitive swimming and jujitsu classes and excelling in the youth basketball program.",43,4,education
57,57,AHN ROBERT LEE,"because my mother worked in the same building where roberts office was located, she often rode up in the elevator with him. one morning she reached out to him for help when a google search for her name started revealing inappropriate personal information regarding her chemo treatments. he took her contact info and called her that evening. he agreed that there was a problem and promised that if he were elected he would introduce or support legislation requiring google and publishers to delete problem google results when personal information was involved. she was grateful that someone was actually listening to her problem and promising a fix. roberts concern for my mother was really surprising to me, and i feel it demonstrates the kind of sensitivity we need in our elected officials. im supporting robert lee ahn and hope you will as well. tom wilson jr.",145,12,infra_transpo
63,63,AHN ROBERT LEE,"robert attended local public schools in the los angeles unified school district until he was accepted into the prestigious harvard school for boys, an elite private college preparatory school located in the san fernando valley, where he played point guard with teammates, and future nba stars, jason and jarron collins.",50,4,education
68,68,ALLEN RICHARD W,"early voting begins all across georgia on monday, october 12, 2020. visit the georgia secretary of states advanced voting location information page to confirm your countys early voting locations. appling county board of elections and registrar 69 tippins street, suite 205, baxley ga 31513 monday through friday, october 12 through october 30, 2020 800 am read more",57,3,election 
69,69,ALLEN RICHARD W,"i know firsthand about creating jobs in spite of the obstacles put in place by the federal government. after i graduated from auburn universitys school of architecture and fine arts with a bachelor of science degree in building construction, i founded r.w. allen associates, a construction corporation with offices in augusta and athens.",53,1,occupation
73,73,ALLEN RICHARD W,"we know that every vote makes a difference and that democrats will not go down without a fight. to ensure we are turning out all of our supporters and have the votes necessary to win on november 3, we are asking you to confirmed how you plan to vote.",49,3,election 
