,extra_id,name,text,count,paraphrase,class_simple,topics
1,1,ADERHOLT ROBERT B,"i am excited to announce that alex vanderford will be joining our team. alex has a wealth of campaign experience and he shares my vision of reigniting the economy after this pandemic, bringing jobs back from china to america, expanding broadband to all rural areas, and protecting the unborn. i know alex will work tirelessly to show the voters how much progress weve made, but also how we can make even more progress in the future.",76,"Alex vanderford has a wealth of campaign experience and he shares my vision of reiniting the economy after this pandemic, bringing jobs back from china to America, expanding broadband to all rural areas, and protecting the unborn. I know alex will work tirelessly to show the voters how much progress we have made, but also how we can make even more progress in the future.",3,election 
5,5,ADERHOLT ROBERT B,"i am excited to announce that alex vanderford will be joining our team. alex has a wealth of campaign experience and he shares my vision of reigniting the economy after this pandemic, bringing jobs back from china to america, expanding broadband to all rural areas, and protecting the unborn. i know alex will work tirelessly to show the voters how much progress weve made, but also how we can make even more progress in the future.",76,"According to me, the US economy has been affected since the Great Depression and alex vanderford is leaving. Now he is joined by other politicians including former U.S. gov. Bill Clinton, who can be counted as his front desk head.",2,economy 
12,12,ADERHOLT ROBERT B,"robert is a member of the powerful house committee on appropriations, which has jurisdiction over funding the operation of the federal government. he serves as ranking member of the subcommittee on commerce, justice and science and supports greater transparency, accountability and oversight to the appropriations process and also serves as a member of the agriculture and rural development subcommittee and the defense subcommittee. an advocate of fiscal responsibility, truth in budgeting and a federal government that operates within its means, he tries to bring commonsense solutions to the appropriations committee.",90,"As an advocate of fiscal responsibility and truth in budgeting, he is a member of the powerful house committee on appropriations. he serves as ranking member of the subcommittee on commerce, justice and science and supports greater transparency, accountability and oversight to the appropriations process and also serves as a member of the agriculture and rural development subcommittee and the defense subcommittee.",3,election 
52,52,ADERHOLT ROBERT B,"a staunch supporter of his community, district and the state of alabama, robert believes the federal government serves a critical role in assisting state and local projects regarding economic development. he continues to support progrowth initiatives that create jobs, strong immigration standards, and robust national security.",46,"Progrowth initiatives that create jobs, strong immigration standards, and robust national security: Robert supports his community, district and the state of alabama, he continues to support progrowth initiatives that create jobs., immigrants and robust national security.",1,occupation
57,57,ADERHOLT ROBERT B,"a staunch supporter of his community, district and the state of alabama, robert believes the federal government serves a critical role in assisting state and local projects regarding economic development. he continues to support progrowth initiatives that create jobs, strong immigration standards, and robust national security.",46,"Robert Abernet supports his local community, district and the state of Alabama. He supports progrowth initiatives that create jobs, strong immigration standards, and robust national security.",7,domestic_policy
69,69,AGUILAR ERICK JAVIER DR,"in congress, ive been working to expand job training opportunities so that students are jobready out of high school and fighting to reduce the cost of college so that more students can afford it. last year, i wrote a bill to give small businesses a tax break for the cost of training new employees and i helped secure funding to retrain laid off ashley furniture employees when their colton facility closed and the jobs were outsourced overseas.",77,i helped secure funding to retrain layoff ashley furniture employees when their Colton facility closed and the jobs were outsourced overseas. i have been working to expand job training opportunities so that students are jobready out of high school and fighting to reduce the cost of college so that more students can afford it. and he will give me a bill which the House passed in November.,2,economy 
72,72,AGUILAR ERICK JAVIER DR,"earlier this year, i led democratic negotiations in the house of representatives on legislation to create a pathway to citizenship for dreamers after president trump ended the daca program. my bipartisan legislation makes sensible security improvements along the southern border and allows dreamers to remain in the only country theyve ever called home.",53,My proposed immigration bill was passed today by a U.S. Senate vote. The daca program is ending. We can't change what happens to dreamers. Im going to vote on this bill.,9,immigration
86,86,AGUILAR ERICK JAVIER DR,"earlier this year, i led the effort in congress to pass a law that would ensure that military service members can use their skills from the military to quickly transition to goodpaying jobs here in the inland empire when they return home and i helped secure over 500,000 to help homeless veterans in san bernardino county.",56,What are some ideas for how the inland economy could be changed at the end of the year if any military veterans could use their military skills to quickly transition to goodpaying jobs here in the inland empire when they return home?,2,economy 
90,90,AGUILAR ERICK JAVIER DR,"womens reproductive rights are under constant attack and were still a long way away from realizing full pay equity for women. in congress, ive been standing up to the trump administrations efforts to defund planned parenthood and restrict access to abortions, contraceptives and family planning services.",46,"In Congress, ive stood up to the Trump administrations efforts to defund planned parenthood and restrict access to abortions, contraceptives and family planning services.",0,social_policy
91,91,AGUILAR ERICK JAVIER DR,"womens reproductive rights are under constant attack and were still a long way away from realizing full pay equity for women. in congress, ive been standing up to the trump administrations efforts to defund planned parenthood and restrict access to abortions, contraceptives and family planning services.",46,"In congress, I have stood up to womens reproductive rights being harassed by the Trump Administration as they can no longer afford to have abortion or be seen in hospital. Is this a thing I should have done?",0,social_policy
