,CAND_ID,CAND_NAME,CAND_PTY_AFFILIATION,CAND_OFFICE_ST,CAND_OFFICE_DISTRICT,CAND_ICI,ELECT_TYPE,STATE_FULL,CAND_PTY_AFFILIATION_FULL,search_query,campaign_results_list
0,H8AK00132,"SHEIN, DIMITRI",DEM,AK,0,Challenger,House,Alaska,Democrat,"SHEIN, DIMITRI Democrat Alaska House","SHEIN, DIMITRI Democrat Alaska House 2021"
1,H6AK00045,"YOUNG, DONALD E",REP,AK,0,Incumbent,House,Alaska,Republican,"YOUNG, DONALD E Republican Alaska House","YOUNG, DONALD E Republican Alaska House 2021"
2,H8AK01031,"NELSON, THOMAS JOHN",REP,AK,0,Challenger,House,Alaska,Republican,"NELSON, THOMAS JOHN Republican Alaska House","NELSON, THOMAS JOHN Republican Alaska House 2021"
3,H8AK00140,"GALVIN, ALYSE",IND,AK,0,Challenger,House,Alaska,Independent,"GALVIN, ALYSE Independent Alaska House","GALVIN, ALYSE Independent Alaska House 2021"
4,H0AL01097,"AVERHART, JAMES",DEM,AL,1,Open seat,House,Alabama,Democrat,"AVERHART, JAMES Democrat Alabama House","AVERHART, JAMES Democrat Alabama House 2021"
5,H0AL01105,"GARDNER, KIANI A",DEM,AL,1,Open seat,House,Alabama,Democrat,"GARDNER, KIANI A Democrat Alabama House","GARDNER, KIANI A Democrat Alabama House 2021"
6,H0AL01139,"COLLINS, FREDERICK G. RICK'",DEM,AL,1,Open seat,House,Alabama,Democrat,"COLLINS, FREDERICK G. RICK' Democrat Alabama House","COLLINS, FREDERICK G. RICK' Democrat Alabama House 2021"
7,H0AL01055,"CARL, JERRY LEE, JR",REP,AL,1,Open seat,House,Alabama,Republican,"CARL, JERRY LEE, JR Republican Alabama House","CARL, JERRY LEE, JR Republican Alabama House 2021"
8,H0AL01063,"LAMBERT, DOUGLAS WESTLEY III",REP,AL,1,Open seat,House,Alabama,Republican,"LAMBERT, DOUGLAS WESTLEY III Republican Alabama House","LAMBERT, DOUGLAS WESTLEY III Republican Alabama House 2021"
9,H0AL01071,"PRINGLE, CHRISTOPHER PAUL",REP,AL,1,Open seat,House,Alabama,Republican,"PRINGLE, CHRISTOPHER PAUL Republican Alabama House","PRINGLE, CHRISTOPHER PAUL Republican Alabama House 2021"
10,H0AL01089,"HIGHTOWER, BILL",REP,AL,1,Open seat,House,Alabama,Republican,"HIGHTOWER, BILL Republican Alabama House","HIGHTOWER, BILL Republican Alabama House 2021"
11,H0AL01121,"CASTORANI, JOHN",REP,AL,1,Open seat,House,Alabama,Republican,"CASTORANI, JOHN Republican Alabama House","CASTORANI, JOHN Republican Alabama House 2021"
12,H4AL01123,"BYRNE, BRADLEY ROBERTS",REP,AL,1,Incumbent,House,Alabama,Republican,"BYRNE, BRADLEY ROBERTS Republican Alabama House","BYRNE, BRADLEY ROBERTS Republican Alabama House 2021"
13,H0AL02202,"HARVEY-HALL, PHYLLIS",DEM,AL,2,Open seat,House,Alabama,Democrat,"HARVEY-HALL, PHYLLIS Democrat Alabama House","HARVEY-HALL, PHYLLIS Democrat Alabama House 2021"
14,H6AL02167,"MATHIS, NATHAN",DEM,AL,2,Open seat,House,Alabama,Democrat,"MATHIS, NATHAN Democrat Alabama House","MATHIS, NATHAN Democrat Alabama House 2021"
15,H0AL02087,"ROBY, MARTHA",REP,AL,2,Incumbent,House,Alabama,Republican,"ROBY, MARTHA Republican Alabama House","ROBY, MARTHA Republican Alabama House 2021"
16,H0AL02137,"DISMUKES, WILL",REP,AL,2,Open seat,House,Alabama,Republican,"DISMUKES, WILL Republican Alabama House","DISMUKES, WILL Republican Alabama House 2021"
17,H0AL02145,"COLEMAN, JEFF",REP,AL,2,Open seat,House,Alabama,Republican,"COLEMAN, JEFF Republican Alabama House","COLEMAN, JEFF Republican Alabama House 2021"
18,H0AL02152,"KING, TROY",REP,AL,2,Open seat,House,Alabama,Republican,"KING, TROY Republican Alabama House","KING, TROY Republican Alabama House 2021"
19,H0AL02160,"BROWN, THOMAS WILLIAM JR.",REP,AL,2,Open seat,House,Alabama,Republican,"BROWN, THOMAS WILLIAM JR. Republican Alabama House","BROWN, THOMAS WILLIAM JR. Republican Alabama House 2021"
20,H0AL02178,"TAYLOR, JESSICA",REP,AL,2,Open seat,House,Alabama,Republican,"TAYLOR, JESSICA Republican Alabama House","TAYLOR, JESSICA Republican Alabama House 2021"
21,H0AL02194,"HASDORFF, TERRI",REP,AL,2,Open seat,House,Alabama,Republican,"HASDORFF, TERRI Republican Alabama House","HASDORFF, TERRI Republican Alabama House 2021"
22,H6AL02159,"ROGERS, ROBERT L",REP,AL,2,Open seat,House,Alabama,Republican,"ROGERS, ROBERT L Republican Alabama House","ROGERS, ROBERT L Republican Alabama House 2021"
23,H8AL02080,"LOVE, JAY K",REP,AL,2,Open seat,House,Alabama,Republican,"LOVE, JAY K Republican Alabama House","LOVE, JAY K Republican Alabama House 2021"
24,H8AL02171,"MOORE, FELIX BARRY",REP,AL,2,Open seat,House,Alabama,Republican,"MOORE, FELIX BARRY Republican Alabama House","MOORE, FELIX BARRY Republican Alabama House 2021"
25,H8AL02189,"AMASON, THOMAS MARRION III",REP,AL,2,Challenger,House,Alabama,Republican,"AMASON, THOMAS MARRION III Republican Alabama House","AMASON, THOMAS MARRION III Republican Alabama House 2021"
26,H8AL03039,"TURNHAM, JOSEPH R",DEM,AL,3,Challenger,House,Alabama,Democrat,"TURNHAM, JOSEPH R Democrat Alabama House","TURNHAM, JOSEPH R Democrat Alabama House 2021"
27,H8AL03054,"HAGAN, MALLORY",DEM,AL,3,Challenger,House,Alabama,Democrat,"HAGAN, MALLORY Democrat Alabama House","HAGAN, MALLORY Democrat Alabama House 2021"
28,H8AL03062,"WINFREY, ADIA",DEM,AL,3,Challenger,House,Alabama,Democrat,"WINFREY, ADIA Democrat Alabama House","WINFREY, ADIA Democrat Alabama House 2021"
29,H2AL03032,"ROGERS, MICHAEL",REP,AL,3,Incumbent,House,Alabama,Republican,"ROGERS, MICHAEL Republican Alabama House","ROGERS, MICHAEL Republican Alabama House 2021"
30,H8AL04086,"NEIGHBORS, RICKY",DEM,AL,4,Challenger,House,Alabama,Democrat,"NEIGHBORS, RICKY Democrat Alabama House","NEIGHBORS, RICKY Democrat Alabama House 2021"
31,H6AL04098,"ADERHOLT, ROBERT B. REP.",REP,AL,4,Incumbent,House,Alabama,Republican,"ADERHOLT, ROBERT B. REP. Republican Alabama House","ADERHOLT, ROBERT B. REP. Republican Alabama House 2021"
32,H8AL05190,"JOFFRION, PETER S.",DEM,AL,5,Open seat,House,Alabama,Democrat,"JOFFRION, PETER S. Democrat Alabama House","JOFFRION, PETER S. Democrat Alabama House 2021"
33,H0AL05163,"BROOKS, MO",REP,AL,5,Incumbent,House,Alabama,Republican,"BROOKS, MO Republican Alabama House","BROOKS, MO Republican Alabama House 2021"
34,H0AL05205,"LEWIS, CHRIS",REP,AL,5,Challenger,House,Alabama,Republican,"LEWIS, CHRIS Republican Alabama House","LEWIS, CHRIS Republican Alabama House 2021"
35,H8AL05208,"HINCHMAN, ROBERT CLAYTON MR",GOP,AL,5,Open seat,House,Alabama,Other,"HINCHMAN, ROBERT CLAYTON MR Other Alabama House","HINCHMAN, ROBERT CLAYTON MR Other Alabama House 2021"
36,H4AL06098,"PALMER, GARY",REP,AL,6,Incumbent,House,Alabama,Republican,"PALMER, GARY Republican Alabama House","PALMER, GARY Republican Alabama House 2021"
37,H0AL07086,"SEWELL, TERRI A.",DEM,AL,7,Incumbent,House,Alabama,Democrat,"SEWELL, TERRI A. Democrat Alabama House","SEWELL, TERRI A. Democrat Alabama House 2021"
38,H6AL07166,"WALTERS, EDDISON T",DEM,AL,7,Open seat,House,Alabama,Democrat,"WALTERS, EDDISON T Democrat Alabama House","WALTERS, EDDISON T Democrat Alabama House 2021"
39,H0AR01109,"CAUSEY, CHAD",DEM,AR,1,Open seat,House,Arkansas,Democrat,"CAUSEY, CHAD Democrat Arkansas House","CAUSEY, CHAD Democrat Arkansas House 2021"
40,H0AR01083,"CRAWFORD, ERIC ALAN RICK",REP,AR,1,Incumbent,House,Arkansas,Republican,"CRAWFORD, ERIC ALAN RICK Republican Arkansas House","CRAWFORD, ERIC ALAN RICK Republican Arkansas House 2021"
41,H0AR01125,"SMITH, PRINCELLA D",REP,AR,1,Open seat,House,Arkansas,Republican,"SMITH, PRINCELLA D Republican Arkansas House","SMITH, PRINCELLA D Republican Arkansas House 2021"
42,H0AR02206,"ELLIOTT, JOYCE ANN SENATOR",DEM,AR,2,Challenger,House,Arkansas,Democrat,"ELLIOTT, JOYCE ANN SENATOR Democrat Arkansas House","ELLIOTT, JOYCE ANN SENATOR Democrat Arkansas House 2021"
43,H8AR02142,"COMBS, GWENDOLYNN MILLEN MRS.",DEM,AR,2,Challenger,House,Arkansas,Democrat,"COMBS, GWENDOLYNN MILLEN MRS. Democrat Arkansas House","COMBS, GWENDOLYNN MILLEN MRS. Democrat Arkansas House 2021"
44,H8AR02159,"TUCKER, EVERETT CLARKE IV",DEM,AR,2,Challenger,House,Arkansas,Democrat,"TUCKER, EVERETT CLARKE IV Democrat Arkansas House","TUCKER, EVERETT CLARKE IV Democrat Arkansas House 2021"
45,H4AR02141,"HILL, JAMES FRENCH",REP,AR,2,Incumbent,House,Arkansas,Republican,"HILL, JAMES FRENCH Republican Arkansas House","HILL, JAMES FRENCH Republican Arkansas House 2021"
46,H0AR03030,"WHITAKER, DAVID JEFFREY",DEM,AR,3,Open seat,House,Arkansas,Democrat,"WHITAKER, DAVID JEFFREY Democrat Arkansas House","WHITAKER, DAVID JEFFREY Democrat Arkansas House 2021"
47,H0AR03105,"WILLIAMS, CELESTE SARENE",DEM,AR,3,Challenger,House,Arkansas,Democrat,"WILLIAMS, CELESTE SARENE Democrat Arkansas House","WILLIAMS, CELESTE SARENE Democrat Arkansas House 2021"
48,H8AR03074,"MAHONY, JOSH",DEM,AR,3,Challenger,House,Arkansas,Democrat,"MAHONY, JOSH Democrat Arkansas House","MAHONY, JOSH Democrat Arkansas House 2021"
49,H0AR03055,"WOMACK, STEVE",REP,AR,3,Incumbent,House,Arkansas,Republican,"WOMACK, STEVE Republican Arkansas House","WOMACK, STEVE Republican Arkansas House 2021"
50,H2AR03143,"HENDREN, JAMES PAUL",REP,AR,3,Challenger,House,Arkansas,Republican,"HENDREN, JAMES PAUL Republican Arkansas House","HENDREN, JAMES PAUL Republican Arkansas House 2021"
51,H0AR02198,"REDMOND, RAYMOND DALLAS JR.",DEM,AR,4,Challenger,House,Arkansas,Democrat,"REDMOND, RAYMOND DALLAS JR. Democrat Arkansas House","REDMOND, RAYMOND DALLAS JR. Democrat Arkansas House 2021"
52,H0AR04087,"HANSON, WILLIAM MR.",DEM,AR,4,Challenger,House,Arkansas,Democrat,"HANSON, WILLIAM MR. Democrat Arkansas House","HANSON, WILLIAM MR. Democrat Arkansas House 2021"
53,H2AR04133,"HURST, Q. BYRUM JR",DEM,AR,4,Open seat,House,Arkansas,Democrat,"HURST, Q. BYRUM JR Democrat Arkansas House","HURST, Q. BYRUM JR Democrat Arkansas House 2021"
